TurbID,n,patv_missing,wspd_missing,patv_mean,patv_std,neg_rate,stall_rate,cv
27,35280,0.0101,0.0101,385.0721,445.7155,0.2396,0.0358,1.1575
28,35280,0.0098,0.0098,381.5929,449.4716,0.1989,0.0404,1.1779
29,35280,0.0108,0.0108,382.1293,450.6303,0.2598,0.0354,1.1793
30,35280,0.0182,0.0182,347.1908,427.3937,0.2677,0.0565,1.231
31,35280,0.0097,0.0097,372.0575,437.1639,0.2364,0.0469,1.175
32,35280,0.0096,0.0096,366.6533,440.7946,0.271,0.0369,1.2022
33,35280,0.0097,0.0097,363.4643,430.0039,0.2628,0.0404,1.1831
34,35280,0.0097,0.0097,361.1198,438.1077,0.2915,0.0474,1.2132
35,35280,0.0095,0.0095,359.825,440.7075,0.2845,0.0539,1.2248
36,35280,0.014,0.014,361.2857,443.7928,0.2832,0.0587,1.2284
37,35280,0.0102,0.0102,375.767,451.0854,0.2285,0.0411,1.2004
38,35280,0.0105,0.0105,380.0971,451.6887,0.2671,0.0474,1.1884
39,35280,0.0096,0.0096,381.007,433.6278,0.2451,0.0391,1.1381
40,35280,0.0101,0.0101,350.7051,420.1551,0.2468,0.0413,1.198
41,35280,0.0099,0.0099,351.3882,424.5758,0.2754,0.0447,1.2083
42,35280,0.0093,0.0093,345.9611,419.243,0.2527,0.0429,1.2118
43,35280,0.0101,0.0101,354.4509,422.5593,0.2522,0.0436,1.1922
44,35280,0.0095,0.0095,368.9355,439.0851,0.2912,0.0249,1.1901
45,35280,0.0099,0.0099,354.6524,421.2793,0.2747,0.0382,1.1879
46,35280,0.0101,0.0101,369.6429,431.719,0.2905,0.0367,1.1679
47,35280,0.0089,0.0089,377.3453,441.766,0.2769,0.034,1.1707
48,35280,0.0099,0.0099,368.9174,433.4407,0.2683,0.0414,1.1749
49,35280,0.0102,0.0102,386.6516,448.3741,0.23,0.0348,1.1596
50,35280,0.0122,0.0122,354.3667,429.7213,0.2837,0.0523,1.2126
51,35280,0.0098,0.0098,378.6237,443.1302,0.2379,0.0246,1.1704
52,35280,0.0098,0.0098,358.5121,419.2097,0.2649,0.0309,1.1693
53,35280,0.0099,0.0099,298.3731,389.5994,0.2682,0.053,1.3057
54,35280,0.0111,0.0111,366.1723,431.9145,0.2031,0.034,1.1795
55,35280,0.0098,0.0098,358.8549,432.7525,0.2812,0.0436,1.2059
56,35280,0.0096,0.0096,358.2874,430.7222,0.2887,0.0358,1.2022
57,35280,0.0102,0.0102,357.1679,428.2712,0.244,0.0359,1.1991
58,35280,0.0103,0.0103,367.1245,435.9144,0.1885,0.0379,1.1874
59,35280,0.01,0.01,342.1997,410.8958,0.2675,0.0399,1.2007
60,35280,0.0116,0.0116,328.3526,410.6636,0.2862,0.0688,1.2507
61,35280,0.0104,0.0104,352.6161,424.1688,0.2858,0.0347,1.2029
62,35280,0.0094,0.0094,348.5026,425.6132,0.2345,0.0486,1.2213
63,35280,0.0103,0.0103,354.0581,418.7883,0.2607,0.0334,1.1828
64,35280,0.0097,0.0097,344.9082,415.5159,0.2962,0.0368,1.2047
65,35280,0.0136,0.0136,315.9541,401.9633,0.2552,0.0569,1.2722
66,35280,0.0102,0.0102,341.5245,418.1904,0.2588,0.045,1.2245
67,35280,0.0096,0.0096,347.4841,413.1323,0.2321,0.0372,1.1889
68,35280,0.0103,0.0103,336.2763,407.4048,0.2593,0.0412,1.2115
69,35280,0.0086,0.0086,401.6409,453.142,0.2557,0.0266,1.1282
70,35280,0.0089,0.0089,406.2316,454.173,0.2598,0.0332,1.118
71,35280,0.0088,0.0088,364.3462,439.219,0.204,0.0521,1.2055
72,35280,0.0096,0.0096,376.2796,445.1611,0.2747,0.0389,1.1831
73,35280,0.009,0.009,359.5181,432.8923,0.2406,0.051,1.2041
74,35280,0.0085,0.0085,356.8603,434.3127,0.2537,0.0549,1.217
75,35280,0.0084,0.0084,371.8725,441.5003,0.2713,0.0339,1.1872
76,35280,0.0093,0.0093,316.7758,407.1568,0.2566,0.0568,1.2853
77,35280,0.0087,0.0087,348.281,426.1556,0.2793,0.041,1.2236
78,35280,0.0089,0.0089,330.4876,403.8818,0.2837,0.0345,1.2221
79,35280,0.0104,0.0104,342.3357,418.1274,0.2731,0.0322,1.2214
80,35280,0.0184,0.0184,310.8706,401.9409,0.2414,0.0674,1.293
81,35280,0.0098,0.0098,336.8991,413.3806,0.2803,0.042,1.227
82,35280,0.0109,0.0109,320.4111,397.3616,0.2978,0.0548,1.2402
83,35280,0.0096,0.0096,359.5282,460.5987,0.2858,0.0558,1.2811
84,35280,0.0092,0.0092,348.6851,421.7354,0.1933,0.0342,1.2095
85,35280,0.0094,0.0094,325.7187,410.3207,0.3009,0.0446,1.2597
86,35280,0.0099,0.0099,319.8001,397.068,0.2721,0.0391,1.2416
87,35280,0.0095,0.0095,317.7664,397.4895,0.1876,0.0504,1.2509
88,35280,0.0087,0.0087,334.7327,403.9745,0.2808,0.0365,1.2069
89,35280,0.0103,0.0103,346.2046,414.537,0.2645,0.0315,1.1974
90,35280,0.0087,0.0087,339.8122,399.8417,0.2516,0.0308,1.1767
91,35280,0.009,0.009,365.7054,433.1518,0.267,0.0371,1.1844
92,35280,0.0089,0.0089,243.9912,321.8082,0.3464,0.0683,1.3189
93,35280,0.0096,0.0096,303.0634,381.6706,0.3313,0.0444,1.2594
94,35280,0.0087,0.0087,342.7879,372.0695,0.2879,0.0372,1.0854
95,35280,0.009,0.009,328.5246,401.1265,0.3135,0.0515,1.221
96,35280,0.0093,0.0093,297.0689,378.5437,0.3473,0.0451,1.2743
97,35280,0.009,0.009,275.4827,361.5738,0.3296,0.0472,1.3125
98,35280,0.0086,0.0086,301.0979,381.026,0.2784,0.0432,1.2655
99,35280,0.0091,0.0091,245.6634,351.583,0.2564,0.0564,1.4312
100,35280,0.0089,0.0089,261.5342,357.3079,0.3025,0.0543,1.3662
101,35280,0.0086,0.0086,313.1339,387.4565,0.3113,0.0465,1.2374
102,35280,0.0104,0.0104,333.7657,411.0628,0.2863,0.0506,1.2316
103,35280,0.0097,0.0097,331.4877,404.0025,0.2481,0.0397,1.2188
104,35280,0.01,0.01,329.2095,406.7414,0.2857,0.043,1.2355
105,35280,0.011,0.011,323.8962,399.914,0.2787,0.048,1.2347
106,35280,0.01,0.01,324.5071,399.8494,0.301,0.0325,1.2322
107,35280,0.0099,0.0099,321.5931,403.1229,0.262,0.0451,1.2535
108,35280,0.0106,0.0106,320.7075,403.5354,0.2668,0.0627,1.2583
109,35280,0.0101,0.0101,331.7093,401.4723,0.2546,0.0346,1.2103
110,35280,0.0107,0.0107,339.7677,415.1023,0.2497,0.048,1.2217
111,35280,0.0105,0.0105,323.3967,398.4544,0.2736,0.0512,1.2321
112,35280,0.0104,0.0104,348.0475,425.7345,0.2849,0.0611,1.2232
113,35280,0.0094,0.0094,336.7962,406.3761,0.2986,0.049,1.2066
114,35280,0.0091,0.0091,349.3166,419.1101,0.2725,0.0348,1.1998
115,35280,0.0087,0.0087,250.5815,336.3032,0.3441,0.0484,1.3421
116,35280,0.0084,0.0084,298.0126,377.8662,0.3228,0.0707,1.268
117,35280,0.009,0.009,300.1512,370.6512,0.321,0.0726,1.2349
118,35280,0.0089,0.0089,324.8202,396.5236,0.2985,0.05,1.2207
119,35280,0.0087,0.0087,342.2644,411.9054,0.2486,0.0317,1.2035
120,35280,0.0085,0.0085,306.8878,391.6922,0.2902,0.0694,1.2763
121,35280,0.0086,0.0086,324.2036,404.7801,0.2518,0.054,1.2485
122,35280,0.0101,0.0101,295.9131,371.8894,0.3206,0.0444,1.2568
123,35280,0.009,0.009,334.7678,408.5008,0.3109,0.0366,1.2203
124,35280,0.0088,0.0088,267.636,348.9181,0.3286,0.0481,1.3037
125,35280,0.0088,0.0088,334.247,403.8708,0.2961,0.039,1.2083
126,35280,0.09,0.09,318.6476,390.439,0.2611,0.0358,1.2253
127,35280,0.0086,0.0086,327.7715,400.3566,0.27,0.0472,1.2215
128,35280,0.0086,0.0086,325.0375,396.9963,0.2574,0.0447,1.2214
129,35280,0.0102,0.0102,335.5285,408.0841,0.2736,0.0444,1.2162
130,35280,0.0099,0.0099,336.2422,406.8139,0.2919,0.051,1.2099
131,35280,0.009,0.009,342.7271,409.6575,0.2632,0.0304,1.1953
132,35280,0.0085,0.0085,332.1539,407.9064,0.2109,0.0628,1.2281
133,35280,0.0083,0.0083,337.35,411.54,0.2965,0.0454,1.2199
134,35280,0.009,0.009,355.9634,422.062,0.2358,0.0474,1.1857
